table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,20-24,827361,423292,404069,562951,337139,225812,260828,84815,176013,1894,651,1243,858,441,417,830,246,584,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,25-29,738568,385544,353024,248208,169879,78329,484339,213476,270863,3431,1180,2251,1158,510,648,1432,499,933,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,30-34,636137,333062,303075,76045,54686,21359,551302,275386,275916,5804,1908,3896,1145,362,783,1841,720,1121,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,35-39,568825,294268,274557,21533,15528,6005,535338,274733,260605,8826,2763,6063,1181,441,740,1947,803,1144,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,40-44,483222,256988,226234,11047,7752,3295,455472,243964,211508,13679,4154,9525,1209,423,786,1815,695,1120,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,45-49,395959,205036,190923,5770,4148,1622,370803,194702,176101,16928,5179,11749,1120,401,719,1338,606,732,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,50-54,319992,173804,146188,4552,3312,1240,287950,161951,125999,25322,7639,17683,1029,390,639,1139,512,627,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,55-59,227495,114641,112854,2927,2102,825,200978,105083,95895,22221,6849,15372,704,279,425,665,328,337,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,60-64,226005,121240,104765,4650,3041,1609,177597,105096,72501,42199,12372,29827,876,394,482,683,337,346,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,65-69,140720,70780,69940,3615,2180,1435,103965,58390,45575,32154,9719,22435,605,297,308,381,194,187,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,70-74,132084,70777,61307,3039,1832,1207,80081,53387,26694,47883,14959,32924,653,350,303,428,249,179,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,75-79,58918,29980,28938,1247,747,500,34457,21326,13131,22775,7652,15123,285,173,112,154,82,72,0,0,0
